,,,,,,,,Q8,Q11,Q13,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,,Random ID
1a,100,519,TRUE,1/13/21 13:03,R_3NJ3LpZ2pR0wLPq,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,torus,cone,pipe,sphere,pyramid,pipe,torus,c),b),a),a),the point on the triangle will fall into the hole nicely.,Both choices were equally as interesting so I went with that,,83927
1a,100,147,TRUE,1/13/21 13:04,R_scZOmToXKfUS95D,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I would be more interesting because of the different shapes.,I wanted to see if it would land differently than just a normal collision.,,80787
1a,100,221,TRUE,1/13/21 13:05,R_R38eROpDHx0nM5j,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),It seemed the most interesting outcome.,It was a random choice. I didn't want to drop it at all.,,74238
1a,100,646,TRUE,1/13/21 13:06,R_2ZWarOBOwKqISvD,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,pentagon,sphere,bowl,torus,torus,octahedron,pentagon,sphere,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),"circle has gap in it, which would be interesting to fill by cone drop",Square would make more sound,,50545
1a,100,173,TRUE,1/13/21 13:07,R_2Cg1vXjulAI7sdb,3,,pentagon,b),pipe,cone,dumbbell,pyramid,sphere,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,cone,pipe,trig prism,pentagon,cone,torus,b),b),a),a),I have no words for the most bizarre study I have ever seen on MTURK. May any lord have mercy on my soul.,I have no words for the most bizarre study I have ever seen on MTURK. May any lord have mercy on my soul.,,98064
1a,100,692,TRUE,1/13/21 13:07,R_1rfChlyiKegnESs,2,Y,dumbbell,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,a),c),a),a),Fits quite well,is the piece that best fits,,85300
1a,100,799,TRUE,1/13/21 13:09,R_3lYNWK3HxMqPlj9,1,Y,pentagon,b),pyramid,cone,cone,pyramid,pipe,bowl,bowl,bowl,octahedron,dumbbell,bowl,octahedron,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,b),c),c),a),because it looked better,made more sense,,82570
1a,100,358,TRUE,1/13/21 13:11,R_solA18MK5AvC081,0,Y,dumbbell,b),pipe,octahedron,dumbbell,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,b),a),b),b),very easy,Very easy to drop,,15351
1a,100,321,TRUE,1/13/21 13:12,R_xEjjGlw1OZOCd3P,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I want to see if it lands inside the opening of the circle.,I want to see if it stays on top of the object and if it would look like a roof.,,16632
1a,100,186,TRUE,1/13/21 13:19,R_3lEzAt4Q4nmRajt,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I want to see the pointy end go inside the hole.,The shapes have flat sides that will make a more satisfying impact.,,67759
1a,100,277,TRUE,1/13/21 13:22,R_WBcAqIIbv6xkql3,0,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,sphere,pentagon,sphere,bowl,octahedron,torus,bowl,octahedron,sphere,torus,pentagon,pyramid,sphere,pyramid,pipe,torus,b),a),b),b),I love the shape,I love the shape,,81896
1a,100,607,TRUE,1/13/21 13:27,R_2QSejQCxCVtt4OC,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I think they fit better together which I like better than it knocking the other around,I think it is more likely to land on the other shape better,,95414
1a,100,155,TRUE,1/13/21 14:00,R_1LiYEJoJK3rKsdE,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Because the shapes could stick in each other.,Because I want to see if it stacks on top.,,80727
1a,100,341,TRUE,1/13/21 14:03,R_qK3COWWEnGQozN7,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,dumbbell,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),I think it would be interesting to try to drop a point into the hole.,"Well, in this one I didn't really like either one, but the one with slanted edges would be more interesting than a flat-top shape.",,73008
1a,100,220,TRUE,1/13/21 14:23,R_1Ia6fwp7tnsnlHy,4,,dumbbell,b),pyramid,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),i want to see the point go into the donut hole,i wanted to see it land flush on the square,,68284
1a,100,222,TRUE,1/13/21 14:40,R_RhmZv9wUJS4Bgn7,4,,dumbbell,b),pyramid,cone,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,c),b),a),a),cause the pyramid could fit in the torus,cause dropping it on the pyramid could send it in any number of directions,,25573
1a,100,238,TRUE,1/13/21 14:43,R_yKNLPWBiSDKZ7jz,2,Y,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,a),c),a),a),tip into hole,solid on solid,,75880
1a,32,36,FALSE,1/13/21 16:58,R_stkKF7frOrC5eql,,Y,dumbbell,b),,,,,,,,,,dumbbell,,,,,,,,,,,,,,,,,,57494
1a,53,573,FALSE,1/13/21 17:08,R_30pB3WnDBcdbOvN,1,Y,dumbbell,b),,cone,,,,,,,torus,torus,octahedron,octahedron,,,pentagon,,,,,torus,c),,,,seemed more fun if it drops in the middle of the hole,,,27238
1a,32,156,FALSE,1/13/21 18:28,R_3xTXZ05GZy4L7ax,,Y,dumbbell,b),,,,,,,,,,torus,,,,,,,,,,,,,,,,,,18709
1a,100,130,TRUE,1/14/21 11:02,R_ZCBHkQUnubdf8KR,3,,dumbbell,b),pyramid,cone,dumbbell,trig prism,pipe,bowl,bowl,bowl,torus,dumbbell,octahedron,octahedron,sphere,dumbbell,pentagon,pipe,sphere,pyramid,pipe,trig prism,a),b),a),a),I wanted to see how it would bounce off a round object,"I am not sure, I wanted to see how it would work out",,38580
1a,100,194,TRUE,1/14/21 11:04,R_2uOqeamj0EflLqB,4,,dumbbell,b),pipe,cone,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pipe,sphere,pyramid,pipe,trig prism,c),b),a),a),I wanted to see something different this time.,I thought it would do something odd if it bounced the right way.,,33813
1a,100,837,TRUE,1/14/21 11:14,R_2YLiTpEyNMjYsWY,3,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,a),b),a),a),It is a sharp shape and to drop the circle with hole shape. It was landing successfully.,Triangle shape landing circle with hole shape successfully.,,97426
1a,100,214,TRUE,1/14/21 11:15,R_dmpq73jK3AxQhmF,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I want to see if it will land on the point,I wanted to see if it would land on the top,,28624
1a,100,704,TRUE,1/14/21 11:16,R_5BGFSgUx9w1ZJ3r,1,Y,pentagon,b),pipe,cone,cone,trig prism,pipe,bowl,sphere,bowl,octahedron,torus,bowl,pentagon,sphere,dumbbell,cone,pipe,trig prism,pentagon,cone,torus,a),c),a),c),i think this can drop easily,easy to drop,,75624
1a,100,295,TRUE,1/14/21 11:17,R_1hyw0L2wj40JOci,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,a),b),a),a),"Because the pointed top will fill the hole, I guess.",Because the first toy will sit perfectly on the left toy.,,12909
1a,100,161,TRUE,1/14/21 11:28,R_2CJvk0DtNT7bmXx,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,torus,pentagon,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),I want to see the pyramid land inside the donut,I want to see if it safely lands on the one below it.,,26477
1a,100,104,TRUE,1/14/21 11:31,R_1mPJwrVhQnpsvRp,1,Y,pentagon,b),pyramid,cone,cone,pyramid,sphere,pentagon,sphere,bowl,torus,dumbbell,bowl,pentagon,trig prism,torus,cone,pipe,sphere,pyramid,pipe,torus,c),c),c),c),it looked more interesting,it seemed more interesting,,40079
1a,100,1674,TRUE,1/14/21 11:36,R_2TpMi6ZWA7LuX3L,1,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,pentagon,sphere,dumbbell,torus,torus,octahedron,pentagon,sphere,torus,cone,pipe,sphere,pentagon,pipe,torus,c),c),c),b),This very like,This is very like,,55389
1a,100,485,TRUE,1/14/21 11:36,R_rfGHsBBBle1VU5j,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,bowl,octahedron,sphere,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,a),b),a),a),I feel like the pointed end of triangular piece would fall in the middle of the circle and stay put.,"When it lands, if it doesn't stay as a stack, it would clank and make a noise together not heard by the other shapes.",,31424
1a,100,237,TRUE,1/14/21 11:39,R_1rk89qj4D3gCj7G,4,,dumbbell,b),pipe,cone,dumbbell,pyramid,sphere,bowl,sphere,dumbbell,torus,torus,bowl,octahedron,sphere,dumbbell,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),"It seemed like the interaction between the two objects would be interesting, because the shapes fit into one another.",I thought it would be interesting to see if the dropped object landed upright on the toy below.,,88868
1a,100,1368,TRUE,1/14/21 11:43,R_3dMUG1eGyEyJDrj,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),c),a),a),"I couldn't really pick between the two, so it was randoml.",It would likely land flat.,,55139
1a,100,295,TRUE,1/14/21 11:43,R_1QyZHdGNOOdPm68,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),It could possibley hit with the point in the hole and stay there.,"It could land, and stay on the flat surface.",,58729
1a,100,258,TRUE,1/14/21 11:44,R_1eJNu0XJpzBh2Z7,1,Y,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,dumbbell,torus,dumbbell,bowl,pentagon,sphere,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,b),b),c),b),more comfortable,Easy drop,,40840
1a,100,120,TRUE,1/14/21 11:44,R_xDA1MlQ5ujwp769,3,,dumbbell,b),pipe,cone,dumbbell,trig prism,pipe,pentagon,sphere,dumbbell,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,sphere,pyramid,pipe,torus,b),b),a),a),because i like the shape,because it was a similar shape,,48601
1a,100,319,TRUE,1/14/21 11:47,R_2XiZZ6QZigbEWUl,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,dumbbell,bowl,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Want to see what happens next.,Want to see it land on it.,,28665
1a,100,208,TRUE,1/14/21 11:53,R_3lKv3LwTpBlHUyZ,0,Y,dumbbell,b),pipe,cone,cone,trig prism,sphere,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,a),a),b),c),it is suitable,good,,21714
1a,100,361,TRUE,1/14/21 12:00,R_3KPAWMxdJauxIZL,4,,dumbbell,b),pipe,cone,cone,pyramid,sphere,pentagon,sphere,bowl,octahedron,torus,octahedron,pentagon,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,c),b),a),a),I thought the doughnut shape would have more surface area to drop the pyramid shape onto.,I thought if I dropped it on the other choice it may just land flat on top whereas this choice might cause the blocks to interact interestingly.,,95183
1a,100,270,TRUE,1/14/21 12:03,R_1LtHy8OuPzKTuCR,4,,pentagon,b),pipe,cone,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),It will fill the gap,it will seat exactly in the space.,,67208
1a,100,208,TRUE,1/14/21 12:23,R_1IzNBe28CU0e9eH,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I thought it would make the most interesting outcome.,I thought it would make the most interesting outcome.,,73176
1a,100,1138,TRUE,1/14/21 12:25,R_tXlExqqD0y0SB5n,2,Y,pentagon,b),pyramid,cone,dumbbell,pyramid,sphere,bowl,sphere,bowl,octahedron,torus,octahedron,pentagon,sphere,torus,cone,pipe,trig prism,pentagon,cone,torus,c),b),c),b),good,good,,54268
1a,100,149,TRUE,1/14/21 12:28,R_3DwlVRnFTYZssT7,2,Y,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pentagon,pipe,torus,a),c),a),a),I think it'd be a more interesting combination.,It will be fun to see the other shape go flying.,,88279
1a,100,296,TRUE,1/14/21 12:53,R_1E0xOuJszdGF6oh,4,,pentagon,b),pipe,cone,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),it looks like these two shapes could fit together,To see if the triangular toy lines up on the tetrahedral one,,29143
1a,100,608,TRUE,1/14/21 13:11,R_2qkgMgdeNehW5rY,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),it will fall in it like a hoop,It can buld on it so it may have a cool output,,64054
1a,3,6,FALSE,1/14/21 15:00,R_uxLsUNDuoDQCpAB,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78707
1a,8,107,FALSE,1/14/21 15:03,R_1hLUdxATBCfyffL,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71257
1a,97,268,FALSE,1/14/21 15:03,R_3PjhgxzJemKboFg,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,cone,pyramid,trig prism,pyramid,cone,trig prism,c),b),a),a),It looks like that shape would be the  most interesting to drop the toy on,Because that is the more interesting shape,,32457
1a,3,4,FALSE,1/14/21 15:12,R_2zdLBbTNXThhn18,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65647
1a,53,148,FALSE,1/14/21 15:13,R_22AlJJ8MTlcQ157,1,Y,pentagon,b),,cone,,,,,,,torus,torus,octahedron,pentagon,,,cone,,,,,torus,c),,,,I wonder if the tip of the pyramid will go in the donut hole,,,28320
1a,32,574,FALSE,1/14/21 15:37,R_zUaBSZs8H0Wa0Tf,,Y,dumbbell,b),,,,,,,,,,dumbbell,,,,,,,,,,,,,,,,,,62206
1a,84,1067,FALSE,1/14/21 15:59,R_zUyVb7qDwLOjtV7,2,Y,pentagon,b),pipe,octahedron,dumbbell,trig prism,,bowl,sphere,dumbbell,octahedron,torus,bowl,octahedron,,,pentagon,,trig prism,pentagon,pipe,torus,c),b),c),,It's a my choice,It's a my choice,,69419
1a,3,1194,FALSE,1/14/21 16:27,R_1gLXRv0YwLKwgcf,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82284
1a,53,799,FALSE,1/14/21 17:04,R_7aMSWhJYgYSjuvL,0,Y,pentagon,b),,cone,,,,,,,torus,torus,bowl,pentagon,,,pentagon,,,,,torus,a),,,,because it would be more fun trying to drop it inside the other toy,,,72677
1b,100,235,TRUE,1/13/21 16:23,R_2Y3QuisyDvH2Vi8,4,,dumbbell,b),pipe,octahedron,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pyramid,pipe,trig prism,c),b),a),a),I want to see if the round toy will roll.,I want to see if the ball will roll.,,73542
1b,100,117,TRUE,1/13/21 16:25,R_2y3K7slZZJooNNZ,4,,dumbbell,b),pipe,cone,dumbbell,pyramid,sphere,bowl,sphere,dumbbell,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),kinda the same size,looked the same,,54840
1b,100,272,TRUE,1/13/21 16:26,R_qIWthoKpEOKGnhD,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,pentagon,sphere,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),"No particular reason, just thought it would be interesting",Those two objects are similar,,66444
1b,100,238,TRUE,1/13/21 16:26,R_3RmiWCZZRWRms8T,4,,dumbbell,b),pyramid,octahedron,dumbbell,pyramid,sphere,bowl,sphere,bowl,torus,dumbbell,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,c),b),a),a),"I think dropping it on the ball gives the most chance for a reaction since no matter where it hits, the ball will react more than the other object.","The ball has the most surface that is going to react, so I thought that would be the more interesting object.",,95056
1b,100,170,TRUE,1/13/21 16:28,R_1ghFovcwMjiACFl,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Because it would be cool if the diamond fell into the hole on the other toy.,Because it would be cool if the pyramid fell and landed and rested on the flat surface of toy 1,,70572
1b,100,175,TRUE,1/13/21 16:28,R_r3E857VVkCF3jJ7,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),It may be dropped on that object.,These two objects are similar in its contacts.,,16693
1b,100,211,TRUE,1/13/21 16:32,R_2q8FYQaYamAGeb4,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,dumbbell,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Just guessing it.,Guessing the best fit drop.,,34980
1b,100,201,TRUE,1/13/21 16:33,R_1jZItfP40O8cp0V,2,Y,pentagon,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,cone,pipe,trig prism,pyramid,cone,torus,b),b),a),c),because it wouldn't be as fun to play with,because it would make less of a bang,,67129
1b,100,901,TRUE,1/13/21 16:34,R_3Ems6NEjEMQaWh7,0,Y,dumbbell,b),pyramid,octahedron,cone,pyramid,sphere,bowl,sphere,bowl,octahedron,torus,octahedron,pentagon,sphere,torus,cone,pipe,sphere,pentagon,cone,torus,a),c),b),c),"RANDAO,LY",RANDOML;Y,,72565
1b,100,211,TRUE,1/13/21 16:35,R_3stt44UJ8dwR0Bu,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),It made more sense based on the shapes.,It would potentially fit on top of the shape.,,74820
1b,100,161,TRUE,1/13/21 16:35,R_3EZ7PkNQ0DR2LjP,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,torus,pentagon,pyramid,trig prism,pentagon,pipe,torus,c),b),a),a),I think it would fit into the hole.,It would be more satisfying to drop that one onto my choice.,,84533
1b,100,314,TRUE,1/13/21 16:40,R_2QARc252yHiof4R,0,Y,dumbbell,b),pyramid,cone,cone,pyramid,sphere,pentagon,bowl,bowl,torus,torus,bowl,pentagon,sphere,dumbbell,cone,pyramid,trig prism,pentagon,pipe,trig prism,b),c),b),b),yes,different,,87325
1b,100,232,TRUE,1/13/21 16:44,R_2V3o84ds30TyG4o,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,dumbbell,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),It feels like it would bounce less.,It feels like the toys would stay in a similar place.,,41098
1b,100,208,TRUE,1/13/21 16:49,R_3ni3QAyK45gVhdV,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pentagon,pipe,trig prism,c),b),a),a),i wanted to see if it would fall into the hole for an interesting interaction,there is potential it would bounce off far,,50494
1b,100,316,TRUE,1/13/21 16:50,R_1dBjMz7YGPZEqeq,4,,pentagon,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Because the shape will stand on another one shape perfectly.,I want to see the reaction,,48953
1b,100,236,TRUE,1/13/21 17:04,R_voSEsUlTC7CfBV7,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),I wanted to see if it would balance inside the hole.,"Neither choice was that appealing. I felt my choice would lead to more ""chaos"" and the object falling further.",,60392
1b,100,1079,TRUE,1/13/21 17:09,R_26ffXOYVaAGLNqN,4,,dumbbell,b),pipe,cone,cone,pyramid,sphere,bowl,sphere,bowl,torus,torus,bowl,octahedron,sphere,torus,cone,pyramid,sphere,pyramid,pipe,torus,c),b),a),a),"Because it would call the ball to quickly roll away which is exciting, as well as the other choice looked like the object might get lodged, or stuck in the hole, which isn't very entertaining.","Because the other choice was flat and looks like it might just rest on the top of it instead of rolling off of it, which would be more fun to see.",,46371
1b,100,201,TRUE,1/13/21 17:21,R_2bK0j9hnDLxvbw9,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),Because the shape will partly fit in the other shape.,Because the toy could maybe sit on top of the other and I think it'll be satisfying.,,63845
